100,-166.0750071360293
200,-155.56942169727773
300,-121.5213281582125
400,-240.36589999979864
500,-145.02400000006404
600,-70.05922169725164
700,-54.90900000004198
800,-111.17260000007495
900,-70.94280000004245
1000,-177.12710000002346
1100,-6.656199999998885
1200,-8.261699999998491
1300,-69.30440000005282
1400,-47.42180000003678
1500,-8.013499999997828
1600,-117.95840000005992
1700,-7.448999999998311
1800,-47.44377675992633
1900,-6.8535855351964186
2000,-10.76322642236996
2100,-6.555392478301666
2200,-7.3604999999983605
2300,-7.97849999999787
2400,-7.44209999999828
2500,-50.50330000003964
2600,-7.669199999998667
2700,-7.387999999998672
2800,-6.843699999998765
2900,-33.94830000001963
