100,-242.61309999986807
200,-22.137300000001286
300,-23.493900000003794
400,-78.75355785926283
500,-21.877700000001493
600,-21.919200000001307
700,-22.665400000003316
800,-15.201566923817449
900,-22.309300000002395
1000,-436.07279999999207
1100,-22.263700000002746
1200,-196.99982835098035
1300,-267.72724918017093
1400,-23.241700000006812
1500,-19.60224744455006
1600,-22.929300000004346
1700,-196.6548428157735
1800,-22.00640000000084
1900,-22.845000000003765
2000,-196.22232140786252
2100,-22.997900000004616
2200,-14.196622082930318
2300,-319.12559999974184
